Product_Code,Product_Name,Category,Cost_Price,Selling_Price
SKU-10001,Smart Mini Cable - Blue,Electronic accessories,58.3,77.6
SKU-10002,Pulse Mini Headphones - White,Electronic accessories,121.82,152.49
SKU-10003,Classic Stainless Steel Candle - Grey,Home and lifestyle,15.3,19.64
SKU-10004,Nature's Salted Pasta - 500ml,Food and beverages,17.74,21.32
SKU-10005,Modern Cotton Wall Clock - White,Home and lifestyle,27.6,38.59
SKU-10006,Summit Compact Sleeping Bag - Grey,Sports and travel,10.67,13.4
SKU-10007,Summit Durable Yoga Mat - Orange,Sports and travel,59.6,81.7
SKU-10008,Chic Silk Gloves - Navy,Fashion accessories,12.34,19.33
SKU-10009,Elite Cotton Wallet - Silver,Fashion accessories,65.64,101.29
SKU-10010,FarmFresh Roasted Cookies - 250g,Food and beverages,10.99,12.78
SKU-10011,Aura Organic Perfume - 150g,Health and beauty,17.11,23.21
SKU-10012,Nature's Vegan Coffee Beans - 250g,Food and beverages,19.69,23.68
SKU-10013,Vogue Silk Gloves - Black,Fashion accessories,70.74,98.81
SKU-10014,Nova Slim Webcam - Red,Electronic accessories,44.62,61.64
SKU-10015,Daily Crunchy Olive Oil - 500ml,Food and beverages,7.64,8.97
SKU-10016,Premium Spicy Pasta - 250g,Food and beverages,16.79,20.77
SKU-10017,Clear Vitamin C Perfume - 200ml,Health and beauty,67.2,106.82
SKU-10018,Elite Leather Watch - Rose Gold,Fashion accessories,16.92,21.85
SKU-10019,Premium Roasted Pasta - 500ml,Food and beverages,14.29,18.55
SKU-10020,HomeStyle Glass Bed Sheets - Beige,Home and lifestyle,29.51,40.41
SKU-10021,Peak Durable Resistance Bands - Grey,Sports and travel,76.57,118.45
SKU-10022,Premium Gluten-Free Honey - 500g,Food and beverages,6.87,8.35
SKU-10023,Aura Oil-Free Perfume - 150g,Health and beauty,52.84,72.06
SKU-10024,EcoLiving Cotton Vase - White,Home and lifestyle,55.53,86.69
SKU-10025,Pulse Heavy Duty Headphones - Red,Electronic accessories,106.05,140.43
SKU-10026,LuxeHome Cotton Cushion - Beige,Home and lifestyle,67.98,88.96
SKU-10027,Eco Heavy Duty Keyboard - Black,Electronic accessories,45.07,64.8
SKU-10028,Clear Vitamin C Sunscreen - 200ml,Health and beauty,7.53,10.4
SKU-10029,EcoLiving Stainless Steel Table Lamp - White,Home and lifestyle,28.98,39.66
