Product_Code,Product_Name,Category,Cost_Price,Stock
SKU-10001,Smart Mini Cable - Blue,Electronic accessories,58.3,3
SKU-10002,Pulse Mini Headphones - White,Electronic accessories,121.82,16
SKU-10003,Classic Stainless Steel Candle - Grey,Home and lifestyle,15.3,4
SKU-10004,Nature's Salted Pasta - 500ml,Food and beverages,17.74,10
SKU-10005,Modern Cotton Wall Clock - White,Home and lifestyle,27.6,16
SKU-10006,Summit Compact Sleeping Bag - Grey,Sports and travel,10.67,3
SKU-10007,Summit Durable Yoga Mat - Orange,Sports and travel,59.6,7
SKU-10008,Chic Silk Gloves - Navy,Fashion accessories,12.34,69
SKU-10009,Elite Cotton Wallet - Silver,Fashion accessories,65.64,18
SKU-10010,FarmFresh Roasted Cookies - 250g,Food and beverages,10.99,11
SKU-10011,Aura Organic Perfume - 150g,Health and beauty,17.11,44
SKU-10012,Nature's Vegan Coffee Beans - 250g,Food and beverages,19.69,68
SKU-10013,Vogue Silk Gloves - Black,Fashion accessories,70.74,11
SKU-10014,Nova Slim Webcam - Red,Electronic accessories,44.62,8
SKU-10015,Daily Crunchy Olive Oil - 500ml,Food and beverages,7.64,13
SKU-10016,Premium Spicy Pasta - 250g,Food and beverages,16.79,64
SKU-10017,Clear Vitamin C Perfume - 200ml,Health and beauty,67.2,101
SKU-10018,Elite Leather Watch - Rose Gold,Fashion accessories,16.92,241
SKU-10019,Premium Roasted Pasta - 500ml,Food and beverages,14.29,51
SKU-10020,HomeStyle Glass Bed Sheets - Beige,Home and lifestyle,29.51,61
SKU-10021,Peak Durable Resistance Bands - Grey,Sports and travel,76.57,36
SKU-10022,Premium Gluten-Free Honey - 500g,Food and beverages,6.87,7
SKU-10023,Aura Oil-Free Perfume - 150g,Health and beauty,52.84,21
SKU-10024,EcoLiving Cotton Vase - White,Home and lifestyle,55.53,19
SKU-10025,Pulse Heavy Duty Headphones - Red,Electronic accessories,106.05,40
SKU-10026,LuxeHome Cotton Cushion - Beige,Home and lifestyle,67.98,41
SKU-10027,Eco Heavy Duty Keyboard - Black,Electronic accessories,45.07,108
SKU-10028,Clear Vitamin C Sunscreen - 200ml,Health and beauty,7.53,63
SKU-10029,EcoLiving Stainless Steel Table Lamp - White,Home and lifestyle,28.98,802
SKU-10030,Luxe Silk Backpack - Rose Gold,Fashion accessories,73.85,14
SKU-10031,Vital Oil-Free Deodorant - Travel Size,Health and beauty,74.43,73
SKU-10032,Velocity Compact Dumbbells - Red,Sports and travel,27.02,100
SKU-10033,Ultra Slim Headphones - White,Electronic accessories,81.93,65
SKU-10034,FarmFresh Gluten-Free Olive Oil - 1Kg,Food and beverages,13.75,26
SKU-10035,Urban Ceramic Bed Sheets - Grey,Home and lifestyle,27.14,127
SKU-10036,Velocity Ergonomic Resistance Bands - Red,Sports and travel,31.65,91
SKU-10037,Zen Rustic Cushion - Clear,Home and lifestyle,20.93,7
SKU-10038,Modern Ceramic Towel Set - Oak,Home and lifestyle,45.98,6
SKU-10039,Nature's Sweet Cereal - 1L,Food and beverages,4.37,72
SKU-10040,Motion Ergonomic Gym Bag - Blue,Sports and travel,40.72,70
SKU-10041,FarmFresh Gluten-Free Pasta - 1Kg,Food and beverages,3.66,76
SKU-10042,Cozy Minimalist Bed Sheets - Oak,Home and lifestyle,28.05,75
SKU-10043,Aero Durable Travel Pillow - Orange,Sports and travel,49.85,14
SKU-10044,Motion Heavy-Duty Travel Pillow - Neon Green,Sports and travel,21.35,169
SKU-10045,Clear Organic Sunscreen - 200ml,Health and beauty,70.55,5
SKU-10046,EcoLiving Ceramic Towel Set - Beige,Home and lifestyle,37.21,6
SKU-10047,Clear Vitamin C Body Lotion - 100ml,Health and beauty,9.81,63
SKU-10048,Classic Minimalist Candle - Oak,Home and lifestyle,18.95,26
SKU-10049,Essence Hydrating Sunscreen - 150g,Health and beauty,29.49,25
SKU-10050,Trek Waterproof Yoga Mat - Grey,Sports and travel,64.39,1
SKU-10051,Classic Cotton Scarf - Black,Fashion accessories,11.88,30
SKU-10052,Cyber Mini Speaker - White,Electronic accessories,115.63,223
SKU-10053,Vogue Leather Tie - Rose Gold,Fashion accessories,43.2,138
SKU-10054,Aura Anti-Aging Serum - Pack of 2,Health and beauty,25.8,131
SKU-10055,LuxeHome Wooden Wall Clock - Clear,Home and lifestyle,39.08,4
SKU-10056,Zen Ceramic Coffee Mug - Black,Home and lifestyle,50.89,73
SKU-10057,Urban Denim Watch - Brown,Fashion accessories,5.41,1
SKU-10058,Eco Mini Adapter - Blue,Electronic accessories,104.6,1
SKU-10059,EcoLiving Wooden Candle - Black,Home and lifestyle,45.55,26
SKU-10060,Peak Lightweight Dumbbells - Red,Sports and travel,31.29,69
SKU-10061,Active Breathable Jump Rope - Black,Sports and travel,61.3,64
SKU-10062,ProFit Breathable Backpack - Neon Green,Sports and travel,40.43,60
SKU-10063,Chic Polarized Gloves - Silver,Fashion accessories,56.59,36
SKU-10064,HomeStyle Rustic Vase - Clear,Home and lifestyle,75.38,75
SKU-10065,Classic Minimalist Picture Frame - Black,Home and lifestyle,43.75,48
SKU-10066,Golden Salted Chocolate - 500g,Food and beverages,10.35,152
SKU-10067,ProFit Durable Tent - Blue,Sports and travel,12.13,171
SKU-10068,LuxeHome Cotton Wall Clock - Black,Home and lifestyle,19.97,31
SKU-10069,Retro Polarized Wallet - Navy,Fashion accessories,14.47,20
SKU-10070,Essence Anti-Aging Body Wash - 50ml,Health and beauty,16.18,10
SKU-10071,Premium Vegan Pasta - 1L,Food and beverages,19.35,7
SKU-10072,Eco Fast-Charging Speaker - Red,Electronic accessories,100.44,9
SKU-10073,Daily Gluten-Free Olive Oil - 1L,Food and beverages,5.04,1
SKU-10074,Cyber Portable Webcam - White,Electronic accessories,29.42,162
SKU-10075,Pulse Slim Power Bank - Grey,Electronic accessories,127.16,601
